State,Cert,latitude,longitude
New South Wales,86.7,-32.17,147.01
Victoria,91,-36.85,144.31
Queensland,92.2,-22.57,144.55
South Australia,89.9,-30.11,135.83
Western Australia,90.7,-25.47,122.18
Tasmania,86.5,-41.94,146.60
Northern Territory,96.4,-19.41,133.37
Australian Capital Territory,97.2,-35.49,149.00
